date,station,hour,day_of_week,holiday,train_frequency,passenger_count,entry_count,exit_count,crowd_level
104,2,9,1,0,3,139,106,31,1
180,6,2,0,0,8,667,386,394,1
45,3,0,5,0,7,1312,723,664,2
286,7,15,1,0,12,1390,1045,461,2
261,9,9,4,0,4,975,395,209,2
319,7,10,6,0,2,918,660,439,2
102,3,22,6,0,11,1462,874,868,0
162,7,1,3,0,10,944,547,246,2
332,8,7,5,0,12,1416,694,408,0
121,8,4,4,0,13,704,505,175,2
110,1,3,0,0,2,1472,1005,822,2
14,4,13,2,1,2,641,327,334,2
133,6,18,2,0,11,1413,645,573,0
198,5,22,4,0,9,1002,473,269,2
162,5,4,3,0,9,141,63,76,1
255,6,6,5,0,6,192,89,85,1
164,0,5,5,0,14,326,186,182,2
342,5,17,1,0,14,1273,885,642,0
280,6,0,2,0,9,264,134,66,1
323,5,5,3,0,8,392,249,82,1
153,5,22,1,0,3,145,98,70,1
286,7,6,1,0,14,1048,513,471,2
168,2,7,2,0,14,921,443,402,0
194,4,22,0,0,14,1334,1013,338,0
25,4,20,6,0,10,542,251,254,0
186,1,8,6,1,12,165,71,40,0
264,9,23,0,0,6,406,223,183,1
91,0,16,2,0,9,1301,750,506,2
77,8,2,2,0,13,351,185,123,1
162,6,19,3,0,12,1228,528,428,0
219,0,20,4,0,4,398,290,236,2
93,0,4,4,0,5,478,311,261,1
190,3,1,3,0,14,106,77,56,1
47,3,22,0,0,11,1459,939,541,2
140,8,18,2,0,5,356,227,119,2
361,8,9,6,0,3,1012,409,423,2
332,2,19,5,0,10,220,96,62,2
94,1,1,5,0,12,1033,480,310,2
174,5,13,1,0,13,230,130,88,1
66,7,16,5,0,2,740,370,299,1
295,2,0,3,0,7,1078,617,345,2
126,8,20,2,0,12,1122,529,351,0
35,1,11,2,0,10,1078,499,624,2
277,2,7,6,0,9,283,117,63,2
63,0,17,2,0,4,872,681,213,2
109,1,11,6,0,3,1338,765,315,2
185,0,16,5,0,8,1201,518,347,2
137,2,6,6,0,5,557,420,234,1
339,6,21,5,0,11,1122,780,628,0
278,9,18,0,0,10,310,185,147,2
355,5,22,0,0,2,411,298,105,1
236,4,7,0,0,5,286,222,144,1
13,3,9,1,0,2,1421,824,378,2
354,5,1,6,0,2,236,111,119,1
198,5,2,4,0,6,892,653,499,1
265,5,15,1,0,11,705,321,247,2
232,1,4,3,0,13,1195,645,257,2
257,6,13,0,1,8,1431,579,410,0
159,1,12,0,0,3,1497,1111,717,2
200,4,12,6,0,9,1007,645,576,2
354,3,3,6,0,7,1011,658,431,2
127,4,13,3,1,7,161,73,86,2
351,4,3,3,0,3,815,633,204,1
23,6,6,4,0,13,1264,961,538,2
71,5,18,3,0,9,201,104,46,2
328,9,20,1,1,7,1284,635,626,0
109,1,0,6,0,7,1060,571,315,2
17,5,15,5,0,11,646,284,160,2
279,0,4,1,0,7,257,128,128,1
281,6,2,3,0,6,844,582,435,1
329,6,10,2,0,3,1157,500,508,2
337,5,9,3,0,6,356,219,155,2
190,6,3,3,0,4,350,216,130,1
244,5,21,1,0,4,222,102,97,1
68,8,11,0,0,5,760,342,395,1
231,2,16,2,0,4,1354,657,304,2
312,9,3,6,0,7,1410,723,822,2
174,0,10,1,0,4,1033,477,586,2
310,4,11,4,0,13,648,504,218,2
321,8,22,1,0,3,887,383,362,1
280,0,11,2,0,4,160,91,77,1
155,0,14,3,0,6,999,608,570,2
72,3,2,4,0,2,548,241,262,1
95,9,11,6,0,5,1476,759,642,2
354,9,13,6,0,10,984,679,263,2
252,4,6,2,0,12,168,88,74,1
25,2,18,6,0,14,1084,719,439,0
188,7,2,1,0,14,1158,900,369,2
132,2,20,1,0,11,325,183,116,2
167,8,14,1,0,5,341,254,112,1
219,5,20,4,0,14,304,235,73,2
52,4,14,5,0,3,581,371,169,1
341,4,19,0,0,2,1196,641,393,2
116,5,15,6,0,12,557,353,125,2
98,7,3,2,1,7,135,85,63,1
10,3,0,5,1,3,626,442,211,2
329,6,18,2,0,14,1453,980,455,0
24,7,8,5,1,8,237,129,135,0
61,6,0,0,0,4,1327,786,639,2
273,5,8,2,0,10,415,241,167,2
64,0,19,3,0,4,573,420,151,2
46,5,18,6,0,13,191,80,80,0
27,4,11,1,0,11,964,623,317,2
74,8,8,6,0,5,148,94,82,2
363,0,8,1,0,5,736,404,364,2
168,7,15,2,0,10,725,363,149,2
322,6,11,2,0,2,1474,1002,439,2
23,8,22,4,0,4,336,202,111,1
240,2,20,4,1,3,236,134,62,2
354,4,20,6,0,4,190,118,61,2
238,3,22,2,0,2,1368,922,299,2
96,5,16,0,0,4,740,378,163,1
306,4,15,0,0,13,583,240,179,2
31,9,0,5,0,9,712,331,325,2
184,5,11,4,0,4,216,86,118,1
111,7,0,1,0,13,778,529,323,2
182,4,18,2,0,8,782,364,217,2
248,4,10,5,0,5,137,64,70,2
305,8,5,6,0,10,166,73,78,1
201,4,0,0,0,8,804,515,397,2
94,6,2,5,0,6,1281,1002,626,2
274,9,12,3,1,6,337,173,175,2
238,1,9,2,0,3,563,362,201,2
203,3,20,2,0,8,545,394,262,2
69,2,6,1,0,5,981,555,507,1
163,0,10,4,1,6,303,141,80,2
220,4,21,5,0,7,932,632,208,0
352,2,7,4,0,4,671,481,293,2
164,8,5,5,0,14,1436,589,560,0
190,8,13,3,0,11,480,327,137,1
164,7,10,5,0,4,1315,971,508,0
351,8,3,3,0,3,959,585,229,1
168,9,9,2,0,14,1303,763,600,0
203,9,18,2,0,13,281,189,140,2
18,4,0,6,1,13,131,68,28,2
29,4,16,3,0,4,674,372,226,1
31,2,4,5,0,9,424,185,233,2
162,5,6,3,0,3,237,186,138,1
303,3,12,4,0,7,143,93,70,1
129,0,6,5,0,8,691,425,389,2
21,8,3,2,0,5,177,121,96,1
79,5,11,4,0,4,1397,758,555,2
302,7,22,3,0,5,1254,515,719,2
151,8,11,6,0,14,773,310,416,2
263,4,5,6,0,14,1344,1057,705,0
253,7,21,3,0,12,973,753,432,0
273,9,5,2,0,5,945,743,552,1
39,4,20,6,0,6,1120,633,540,0
76,4,15,1,0,10,1042,578,519,2
117,9,23,0,0,10,730,355,240,2
207,6,5,6,0,7,307,167,70,1
172,6,1,6,0,9,1233,788,597,2
341,2,7,0,0,13,789,346,296,0
226,9,5,4,0,4,1481,847,394,2
229,9,21,0,0,11,475,255,102,2
251,1,18,1,1,9,1020,609,610,0
246,9,19,3,0,5,883,591,176,2
152,4,6,0,1,10,1441,1089,312,0
153,8,1,1,0,14,933,594,526,2
252,5,14,2,0,12,1217,852,479,2
225,2,14,3,0,11,1454,596,335,2
126,0,11,2,1,4,692,283,253,2
173,2,1,0,0,13,948,741,412,2
50,8,11,3,0,2,176,130,80,1
96,4,12,0,0,9,1111,613,340,2
266,0,8,2,0,12,1467,1146,740,0
227,9,1,5,0,14,495,376,197,2
200,3,2,6,1,5,393,255,211,2
243,1,19,0,0,12,449,203,136,2
52,8,17,5,1,7,1053,805,390,0
127,6,16,3,0,9,357,146,95,1
143,0,16,5,0,13,1193,627,263,0
269,3,13,5,0,9,1388,582,615,0
228,8,8,6,0,11,1208,523,293,0
210,5,8,2,0,10,959,499,279,2
58,7,7,4,0,2,1197,853,414,2
81,8,14,6,0,14,1486,601,861,0
238,6,2,2,0,3,424,240,225,1
232,8,8,3,0,7,1021,656,513,2
128,2,20,4,0,2,972,391,417,2
221,1,11,6,1,10,1252,975,717,0
313,9,19,0,0,9,514,229,278,2
323,3,3,3,0,12,1133,807,653,2
269,5,17,5,0,13,1176,610,531,0
96,1,11,0,1,13,1057,800,630,0
229,6,17,0,0,6,406,166,240,2
156,9,1,4,0,4,1285,825,320,2
145,0,17,0,0,9,763,412,282,2
228,8,0,6,0,10,781,433,398,2
185,8,4,5,0,3,996,751,214,2
133,5,3,2,0,10,698,538,319,2
186,7,18,6,0,11,617,433,357,0
186,2,6,6,0,4,160,65,81,1
