date,station,hour,day_of_week,holiday,train_frequency,passenger_count,entry_count,exit_count,crowd_level
2025-04-15,Kurnool,9,1,0,3,139,106,31,Low
2025-06-30,Tirupati,2,0,0,8,667,386,394,Low
2025-02-15,Nellore,0,5,0,7,1312,723,664,Medium
2025-10-14,Vijayawada,15,1,0,12,1390,1045,461,Medium
2025-09-19,Warangal,9,4,0,4,975,395,209,Medium
2025-11-16,Vijayawada,10,6,0,2,918,660,439,Medium
2025-04-13,Nellore,22,6,0,11,1462,874,868,High
2025-06-12,Vijayawada,1,3,0,10,944,547,246,Medium
2025-11-29,Visakhapatnam,7,5,0,12,1416,694,408,High
2025-05-02,Visakhapatnam,4,4,0,13,704,505,175,Medium
2025-04-21,Hyderabad,3,0,0,2,1472,1005,822,Medium
2025-01-15,Nizamabad,13,2,1,2,641,327,334,Medium
2025-05-14,Tirupati,18,2,0,11,1413,645,573,High
2025-07-18,Secunderabad,22,4,0,9,1002,473,269,Medium
2025-06-12,Secunderabad,4,3,0,9,141,63,76,Low
2025-09-13,Tirupati,6,5,0,6,192,89,85,Low
2025-06-14,Guntur,5,5,0,14,326,186,182,Medium
2025-12-09,Secunderabad,17,1,0,14,1273,885,642,High
2025-10-08,Tirupati,0,2,0,9,264,134,66,Low
2025-11-20,Secunderabad,5,3,0,8,392,249,82,Low
2025-06-03,Secunderabad,22,1,0,3,145,98,70,Low
2025-10-14,Vijayawada,6,1,0,14,1048,513,471,Medium
2025-06-18,Kurnool,7,2,0,14,921,443,402,High
2025-07-14,Nizamabad,22,0,0,14,1334,1013,338,High
2025-01-26,Nizamabad,20,6,0,10,542,251,254,High
2025-07-06,Hyderabad,8,6,1,12,165,71,40,High
2025-09-22,Warangal,23,0,0,6,406,223,183,Low
2025-04-02,Guntur,16,2,0,9,1301,750,506,Medium
2025-03-19,Visakhapatnam,2,2,0,13,351,185,123,Low
2025-06-12,Tirupati,19,3,0,12,1228,528,428,High
2025-08-08,Guntur,20,4,0,4,398,290,236,Medium
2025-04-04,Guntur,4,4,0,5,478,311,261,Low
2025-07-10,Nellore,1,3,0,14,106,77,56,Low
2025-02-17,Nellore,22,0,0,11,1459,939,541,Medium
2025-05-21,Visakhapatnam,18,2,0,5,356,227,119,Medium
2025-12-28,Visakhapatnam,9,6,0,3,1012,409,423,Medium
2025-11-29,Kurnool,19,5,0,10,220,96,62,Medium
2025-04-05,Hyderabad,1,5,0,12,1033,480,310,Medium
2025-06-24,Secunderabad,13,1,0,13,230,130,88,Low
2025-03-08,Vijayawada,16,5,0,2,740,370,299,Low
2025-10-23,Kurnool,0,3,0,7,1078,617,345,Medium
2025-05-07,Visakhapatnam,20,2,0,12,1122,529,351,High
2025-02-05,Hyderabad,11,2,0,10,1078,499,624,Medium
2025-10-05,Kurnool,7,6,0,9,283,117,63,Medium
2025-03-05,Guntur,17,2,0,4,872,681,213,Medium
2025-04-20,Hyderabad,11,6,0,3,1338,765,315,Medium
2025-07-05,Guntur,16,5,0,8,1201,518,347,Medium
2025-05-18,Kurnool,6,6,0,5,557,420,234,Low
