train_id,train_name,source,destination,distance_km,scheduled_departure,weather,temperature,rainfall,station_delay,previous_delay,delay_minutes
0,4,0,3,350,10,4,38,12.48,6.12,15.07,28.32
1,2,1,4,539,21,0,34,41.98,2.9,4.28,15.53
2,7,0,3,646,19,1,20,68.8,2.9,21.39,17.81
3,5,4,2,419,14,1,29,39.61,9.48,13.76,16.29
4,6,3,0,469,21,1,39,2.51,4.29,16.41,26.34
5,8,3,0,331,7,4,30,21.71,4.31,4.78,28.76
6,0,4,2,94,12,0,24,33.87,0.0,2.43,5.63
7,2,5,5,310,8,3,26,49.86,7.71,4.65,34.93
8,4,3,0,178,11,1,20,37.78,6.45,3.48,13.07
9,4,1,6,472,14,0,27,35.15,11.15,9.05,19.04
10,9,0,3,175,3,3,40,48.35,0.0,9.33,21.03
11,7,3,0,657,9,4,38,69.72,7.43,4.29,32.77
12,5,2,1,427,6,3,18,18.23,10.09,5.96,21.13
13,2,1,4,313,11,0,39,17.5,6.38,0.0,14.57
14,9,5,5,643,11,0,19,56.98,3.23,7.41,17.58
15,6,4,2,495,22,1,28,29.57,0.0,13.09,9.71
16,2,0,3,689,5,0,33,63.87,5.11,0.0,15.16
17,1,1,6,425,2,4,37,51.61,6.73,11.75,19.02
18,4,5,5,552,17,3,27,20.64,9.18,11.69,45.83
19,6,1,4,383,11,1,40,27.12,15.16,17.1,24.36
20,7,0,3,231,21,4,41,68.07,8.42,20.52,34.2
21,0,4,2,417,1,1,33,79.56,4.34,0.0,10.41
22,8,2,1,274,16,0,33,7.49,0.0,2.6,7.29
23,6,4,2,688,14,1,22,18.41,4.04,27.49,23.79
24,9,1,4,251,13,3,20,59.82,4.49,10.39,34.63
25,9,0,3,270,20,0,18,25.35,11.19,9.5,18.7
26,3,5,5,402,7,0,35,49.2,9.23,8.36,28.08
27,3,2,1,556,9,4,20,20.5,9.26,2.87,31.75
28,4,1,4,115,12,0,25,56.16,5.93,9.23,6.16
29,6,2,1,130,21,1,39,20.02,0.0,0.0,11.0
30,8,4,2,651,11,2,24,6.83,5.18,3.44,31.64
31,1,4,2,449,9,0,34,31.91,7.54,19.15,25.95
32,5,4,2,553,20,0,26,55.08,0.0,5.6,14.5
33,4,2,1,660,21,4,20,19.82,7.31,16.87,30.83
34,0,4,2,299,4,0,31,78.36,7.8,12.2,13.74
35,2,2,1,601,21,1,19,20.87,0.0,30.31,26.47
36,1,2,1,337,16,3,37,46.04,11.34,0.0,38.25
37,2,0,3,656,0,1,28,15.66,0.0,4.59,11.23
38,8,4,2,681,1,0,24,9.45,8.81,18.17,24.33
39,2,4,2,473,4,4,20,79.24,7.33,0.0,14.17
40,4,2,1,269,4,0,40,60.07,3.37,9.83,10.04
41,0,3,0,476,18,0,29,76.68,8.72,5.12,25.47
42,1,1,6,585,14,0,22,23.46,9.82,0.0,18.75
43,0,2,1,188,20,1,24,79.67,7.67,20.7,27.44
44,0,5,5,571,16,0,24,34.09,2.98,0.0,2.36
45,8,4,2,421,19,0,24,78.88,5.32,3.35,22.31
46,7,4,2,261,6,0,36,8.9,3.79,7.97,6.86
47,8,4,2,440,6,4,30,19.0,4.81,4.16,8.03
48,0,1,4,196,5,4,30,77.59,5.9,8.09,18.48
49,1,1,4,481,14,1,31,23.56,1.91,18.06,13.13
50,5,3,0,487,20,0,21,37.1,9.13,0.0,12.35
51,1,4,2,637,2,4,35,33.33,6.45,13.46,25.81
52,5,3,0,321,12,0,41,30.12,6.18,0.32,10.88
53,9,4,2,689,8,0,18,1.09,4.65,9.53,21.42
54,2,2,1,516,22,4,22,60.57,0.0,3.54,10.95
55,1,3,0,528,16,4,19,28.65,1.88,10.33,15.3
56,6,3,0,197,2,1,29,65.31,6.65,17.39,7.15
57,2,4,2,657,10,0,23,49.38,2.38,8.38,21.26
58,6,3,0,414,18,3,37,43.8,8.46,7.27,37.39
59,9,4,2,217,23,4,34,20.66,0.0,10.69,13.31
60,2,5,5,284,10,1,28,6.07,0.59,11.41,20.99
61,7,1,6,172,17,1,36,3.27,3.84,4.29,12.1
62,3,4,2,592,4,1,31,29.14,12.86,8.25,21.28
63,9,5,5,336,7,4,37,16.75,5.86,6.07,17.44
64,5,0,3,157,23,4,31,11.82,6.6,2.51,18.06
65,6,5,5,94,22,0,27,45.12,7.6,0.0,9.37
66,1,1,4,659,9,4,30,38.37,11.25,11.89,45.93
67,7,5,5,504,4,0,19,19.55,10.56,0.0,15.52
68,0,1,4,516,21,0,23,19.68,3.47,5.11,13.36
69,4,1,4,322,7,1,41,8.96,2.82,10.73,19.99
70,1,2,1,197,16,1,23,53.49,5.4,13.26,7.99
71,2,3,0,489,21,4,37,40.61,7.17,4.79,25.75
72,5,3,0,399,5,1,28,74.56,8.53,0.0,11.53
73,2,2,1,251,1,0,19,7.03,0.0,7.5,1.41
74,3,2,1,498,16,3,29,32.68,2.97,0.0,23.68
75,8,1,6,308,13,4,20,13.14,6.41,11.8,25.35
76,5,3,0,211,12,1,35,65.33,0.0,0.94,0.0
77,4,2,1,222,0,0,18,31.32,3.59,2.77,7.14
78,8,1,6,118,18,0,20,50.22,1.5,5.2,12.8
79,1,3,0,310,3,2,18,56.56,9.99,4.52,26.45
80,1,3,0,601,4,3,18,8.23,0.0,12.73,35.13
81,8,4,2,236,14,0,30,57.6,1.27,17.7,14.74
82,1,5,5,362,4,4,27,27.4,3.37,0.0,17.25
83,5,4,2,695,17,1,32,58.09,0.0,1.87,16.52
84,1,4,2,206,9,4,26,33.93,5.74,8.7,25.91
85,2,4,2,425,13,0,40,73.67,8.12,8.39,20.11
86,8,2,1,510,8,4,27,64.23,8.41,0.0,27.59
87,6,1,6,497,16,1,29,73.02,7.51,11.3,12.88
88,1,3,0,580,23,0,28,50.58,3.92,0.25,20.12
89,4,1,6,397,16,0,33,45.19,5.24,17.72,5.66
90,9,5,5,301,5,4,21,14.55,0.0,2.56,6.59
91,4,2,1,555,17,3,25,2.17,12.01,3.07,36.87
92,8,3,0,318,4,0,18,44.54,8.45,12.36,16.63
93,1,0,3,244,21,0,40,71.71,5.25,10.28,12.79
94,6,5,5,602,9,4,20,47.22,8.03,0.0,34.03
95,6,4,2,579,21,4,34,69.48,0.0,14.8,24.59
96,9,5,5,194,16,0,25,55.91,0.0,4.71,0.0
97,5,5,5,108,12,1,22,1.47,12.42,0.0,17.7
98,9,4,2,232,5,4,40,8.53,3.3,3.48,17.66
99,6,0,3,534,9,3,38,30.65,1.33,3.63,31.23
100,3,1,6,371,18,0,38,66.97,8.3,7.13,23.85
101,3,5,5,134,14,2,39,58.61,11.0,12.25,21.17
102,9,3,0,586,12,0,26,61.67,4.86,20.4,16.37
103,4,1,6,210,17,4,29,77.42,12.25,14.9,30.93
104,9,4,2,96,9,1,34,14.81,9.26,8.84,27.02
105,4,4,2,453,15,4,35,39.15,7.47,11.01,24.24
106,4,5,5,165,6,0,38,58.48,4.23,6.92,14.08
107,1,2,1,481,9,1,31,47.7,3.56,4.96,19.12
108,6,1,6,250,7,0,40,5.23,6.65,0.0,14.55
109,6,1,4,95,12,1,19,1.95,9.17,8.58,19.82
110,7,1,6,118,13,0,34,32.15,14.2,5.46,15.78
111,4,0,3,468,0,0,20,37.38,10.81,13.5,19.09
112,6,3,0,372,15,0,31,3.61,4.02,1.82,5.87
113,3,2,1,519,13,1,30,79.13,8.21,7.32,18.54
114,8,0,3,654,21,1,30,9.63,4.49,4.49,22.7
115,3,2,1,600,2,1,34,13.91,7.03,17.94,19.93
116,9,1,6,239,2,0,41,59.83,4.47,15.88,7.23
117,0,1,6,411,9,4,25,74.53,2.14,1.66,25.81
118,3,1,6,255,17,0,33,54.66,0.0,1.91,14.14
119,8,5,5,119,12,0,23,41.7,6.37,5.35,11.89
120,0,4,2,442,12,1,27,8.47,1.29,12.16,16.73
121,5,5,5,442,20,4,35,65.44,4.62,8.2,30.44
122,4,5,5,303,12,1,34,44.79,3.87,1.83,8.06
123,4,5,5,312,1,0,32,74.56,2.32,4.87,8.16
124,9,0,3,480,9,1,39,49.67,2.76,10.64,28.08
125,5,2,1,617,1,0,21,34.09,4.74,0.0,10.2
126,4,4,2,236,10,0,19,61.83,3.06,5.52,8.24
127,5,0,3,606,1,0,34,52.13,2.73,14.65,13.28
