train_id,train_name,source,destination,distance_km,scheduled_departure,weather,temperature,rainfall,station_delay,previous_delay,delay_minutes
TRN1001,Jan Shatabdi,Guntur,Tirupati,350,10:00,Rain,38,12.48,6.12,15.07,28.32
TRN1002,Garib Rath,Hyderabad,Vijayawada,539,21:00,Clear,34,41.98,2.9,4.28,15.53
TRN1003,Shatabdi Express,Guntur,Tirupati,646,19:00,Cloudy,20,68.8,2.9,21.39,17.81
TRN1004,Krishna Express,Secunderabad,Nizamabad,419,14:00,Cloudy,29,39.61,9.48,13.76,16.29
TRN1005,Rajdhani Express,Nellore,Chennai,469,21:00,Cloudy,39,2.51,4.29,16.41,26.34
TRN1006,Superfast Express,Nellore,Chennai,331,07:00,Rain,30,21.71,4.31,4.78,28.76
TRN1007,Deccan Express,Secunderabad,Nizamabad,94,12:00,Clear,24,33.87,0.0,2.43,5.63
TRN1008,Garib Rath,Vijayawada,Visakhapatnam,310,08:00,Heavy Rain,26,49.86,7.71,4.65,34.93
TRN1009,Jan Shatabdi,Nellore,Chennai,178,11:00,Cloudy,20,37.78,6.45,3.48,13.07
TRN1010,Jan Shatabdi,Hyderabad,Warangal,472,14:00,Clear,27,35.15,11.15,9.05,19.04
TRN1011,Vande Bharat,Guntur,Tirupati,175,03:00,Heavy Rain,40,48.35,0.0,9.33,21.03
TRN1012,Shatabdi Express,Nellore,Chennai,657,09:00,Rain,38,69.72,7.43,4.29,32.77
TRN1013,Krishna Express,Kurnool,Hyderabad,427,06:00,Heavy Rain,18,18.23,10.09,5.96,21.13
TRN1014,Garib Rath,Hyderabad,Vijayawada,313,11:00,Clear,39,17.5,6.38,0.0,14.57
TRN1015,Vande Bharat,Vijayawada,Visakhapatnam,643,11:00,Clear,19,56.98,3.23,7.41,17.58
TRN1016,Rajdhani Express,Secunderabad,Nizamabad,495,22:00,Cloudy,28,29.57,0.0,13.09,9.71
TRN1017,Garib Rath,Guntur,Tirupati,689,05:00,Clear,33,63.87,5.11,0.0,15.16
TRN1018,Duronto Express,Hyderabad,Warangal,425,02:00,Rain,37,51.61,6.73,11.75,19.02
TRN1019,Jan Shatabdi,Vijayawada,Visakhapatnam,552,17:00,Heavy Rain,27,20.64,9.18,11.69,45.83
TRN1020,Rajdhani Express,Hyderabad,Vijayawada,383,11:00,Cloudy,40,27.12,15.16,17.1,24.36
TRN1021,Shatabdi Express,Guntur,Tirupati,231,21:00,Rain,41,68.07,8.42,20.52,34.2
TRN1022,Deccan Express,Secunderabad,Nizamabad,417,01:00,Cloudy,33,79.56,4.34,0.0,10.41
TRN1023,Superfast Express,Kurnool,Hyderabad,274,16:00,Clear,33,7.49,0.0,2.6,7.29
TRN1024,Rajdhani Express,Secunderabad,Nizamabad,688,14:00,Cloudy,22,18.41,4.04,27.49,23.79
TRN1025,Vande Bharat,Hyderabad,Vijayawada,251,13:00,Heavy Rain,20,59.82,4.49,10.39,34.63
TRN1026,Vande Bharat,Guntur,Tirupati,270,20:00,Clear,18,25.35,11.19,9.5,18.7
TRN1027,Intercity Express,Vijayawada,Visakhapatnam,402,07:00,Clear,35,49.2,9.23,8.36,28.08
TRN1028,Intercity Express,Kurnool,Hyderabad,556,09:00,Rain,20,20.5,9.26,2.87,31.75
TRN1029,Jan Shatabdi,Hyderabad,Vijayawada,115,12:00,Clear,25,56.16,5.93,9.23,6.16
TRN1030,Rajdhani Express,Kurnool,Hyderabad,130,21:00,Cloudy,39,20.02,0.0,0.0,11.0
TRN1031,Superfast Express,Secunderabad,Nizamabad,651,11:00,Fog,24,6.83,5.18,3.44,31.64
TRN1032,Duronto Express,Secunderabad,Nizamabad,449,09:00,Clear,34,31.91,7.54,19.15,25.95
TRN1033,Krishna Express,Secunderabad,Nizamabad,553,20:00,Clear,26,55.08,0.0,5.6,14.5
