train_id,engine_temperature,brake_pressure,vibration,wheel_condition,engine_hours,last_service_days,maintenance_count,failure
2569,91.33,88.74,3.28,55,6057,67,7,0
1891,75.91,93.46,3.34,75,5416,257,11,0
2998,87.09,90.08,5.38,96,5831,229,4,0
3126,62.02,91.54,4.6,85,4060,137,14,1
1367,91.01,87.05,3.15,57,11743,146,9,0
792,79.19,104.52,5.51,53,4872,31,0,0
2895,86.62,83.03,3.63,59,12624,151,0,1
3067,95.83,94.92,2.54,77,11688,125,13,0
1781,88.39,94.4,5.0,71,8695,71,0,0
1759,87.67,87.05,2.61,94,8998,216,3,0
2351,78.71,103.13,2.95,67,14161,92,3,0
256,102.85,96.82,5.61,65,11976,344,3,0
1671,91.15,105.42,5.7,89,8886,27,1,0
2205,77.06,98.25,6.34,50,14697,39,11,1
1899,91.45,94.67,3.46,68,2492,300,1,1
2966,93.69,98.87,3.44,84,11720,105,10,1
2482,97.51,91.73,3.56,95,5557,73,1,0
461,56.35,93.43,2.27,95,9925,229,7,0
2076,93.26,92.87,4.92,90,5191,208,2,0
2487,72.96,93.05,2.16,76,9072,50,6,0
2953,90.94,95.95,4.24,85,1733,187,6,0
100,108.07,85.57,4.42,78,11075,256,12,1
862,78.71,80.51,1.53,58,11225,20,3,0
2624,84.74,103.41,5.82,91,8943,60,9,0
3030,80.78,101.74,3.52,57,2447,239,0,0
185,91.67,83.76,4.6,50,4384,326,13,1
3014,71.32,82.75,2.79,77,12398,18,5,1
3013,82.75,92.93,3.36,55,13714,232,12,1
2029,99.19,96.09,4.21,93,4592,348,3,0
2846,77.63,96.02,3.88,53,10888,212,2,0
573,109.27,89.4,5.83,77,3113,102,10,0
2891,94.52,107.17,2.16,78,1920,282,3,0
3148,75.59,99.75,5.28,54,2054,273,14,0
1277,62.05,90.93,1.94,53,3912,348,10,0
1877,90.48,87.41,1.85,53,14264,59,1,0
492,68.17,90.92,0.66,54,10035,156,2,1
360,78.9,89.51,2.69,84,5412,144,7,0
2887,58.09,96.48,4.48,76,6852,319,10,0
2274,78.45,93.03,3.22,100,11273,32,12,0
532,100.88,93.03,1.7,84,7210,158,10,0
2711,87.88,78.9,3.76,54,14291,29,4,1
1522,77.34,89.17,2.63,71,6911,360,1,0
2442,77.81,96.2,1.99,59,7541,332,6,1
2479,62.86,83.6,3.14,82,6583,324,5,0
402,86.66,92.75,4.73,96,13635,33,0,0
1149,88.47,98.5,2.93,93,8611,42,14,0
2620,73.97,96.05,4.02,50,2872,83,1,0
437,108.36,99.92,6.22,64,7203,343,11,1
1100,82.0,87.12,4.96,99,4344,168,14,1
2826,85.86,101.11,4.13,80,9376,78,6,0
1025,87.71,102.25,4.77,79,4349,286,3,1
453,73.87,100.07,8.14,99,12958,3,10,0
914,77.38,98.35,5.44,63,12277,193,5,0
1765,79.75,95.9,6.06,69,11159,178,1,1
2723,100.68,96.91,3.95,80,13233,251,6,0
2830,74.38,84.2,4.69,61,9664,320,5,1
159,93.31,90.77,1.2,88,4000,207,6,0
3169,79.43,97.64,4.85,76,14417,346,5,1
1483,86.14,84.58,6.12,65,12606,38,8,0
959,98.79,97.89,6.69,50,4156,318,1,1
2483,94.74,95.01,5.23,74,3686,44,14,1
683,75.31,88.35,2.21,65,4400,205,12,0
2264,62.56,98.83,2.22,79,5110,292,8,0
920,77.65,90.27,4.06,98,12580,322,5,0
2422,85.29,95.34,4.78,60,2966,235,5,1
2160,105.59,89.19,2.88,77,3765,36,9,0
882,98.99,92.79,3.8,100,5022,357,6,0
1482,68.66,86.93,6.23,86,2647,180,5,0
449,80.43,93.38,5.75,53,5222,194,4,0
689,92.91,96.92,6.58,84,9975,136,4,0
1478,105.04,95.34,2.37,54,11835,307,11,0
1973,66.28,78.01,4.78,95,12116,8,12,0
3122,91.29,101.06,0.96,92,3823,278,1,0
444,51.57,87.45,3.7,86,11758,211,8,0
2428,86.16,87.34,5.29,86,9474,85,8,0
509,92.12,85.36,0.78,66,12924,271,9,0
732,76.79,93.35,0.67,59,10132,251,14,1
2470,84.0,87.75,5.58,99,13652,94,9,0
1595,73.92,85.41,1.51,98,1395,96,11,0
1874,89.14,109.96,4.93,92,9095,33,7,0
1915,92.91,115.74,4.66,78,9684,132,3,0
597,77.65,91.94,4.77,58,14670,333,11,1
2287,78.76,93.77,4.26,74,13749,202,7,0
2055,81.37,78.82,1.84,64,7239,139,3,0
188,104.05,96.93,6.24,77,13079,106,9,0
1422,85.22,103.17,4.38,81,3369,64,7,0
1883,67.44,94.98,4.35,89,3676,349,12,1
300,69.77,90.53,3.47,63,10906,107,11,0
1363,69.2,92.9,1.65,71,10685,149,14,0
941,90.7,89.79,3.18,76,14179,223,9,0
1514,70.85,83.5,3.2,56,7549,137,2,1
1291,107.83,86.2,5.25,85,3313,228,1,0
301,98.67,105.62,5.02,54,14353,258,11,1
343,68.71,95.86,3.91,66,13674,73,11,0
1826,106.23,110.12,2.13,67,4841,176,10,1
605,93.73,94.45,3.79,62,4589,40,4,0
1474,73.3,82.86,4.37,76,14597,126,8,0
1449,76.3,106.16,2.47,100,7834,213,0,0
700,67.38,102.8,5.93,64,8873,343,12,1
2466,96.22,102.48,4.88,72,12854,130,5,0
2494,92.96,95.76,2.91,65,14310,341,4,0
869,87.53,87.08,2.71,57,3413,351,4,1
2565,90.96,81.5,5.78,51,1240,161,14,1
2997,83.2,111.44,4.03,56,9291,171,11,1
726,83.54,102.05,-0.01,94,8874,160,8,0
2525,73.41,99.37,4.23,76,11705,13,11,0
1568,90.76,82.05,5.47,64,3551,285,9,0
1730,99.73,98.83,2.87,84,13703,349,13,1
2816,94.99,86.09,3.43,78,6240,352,9,1
1069,70.85,79.37,0.8,52,1596,212,1,0
2773,98.06,103.37,4.41,60,10151,112,0,0
1960,71.24,105.6,1.81,76,13345,134,14,0
2220,73.71,102.28,2.62,74,7135,250,0,0
1109,117.11,93.64,3.14,71,5509,276,13,1
2805,75.8,93.92,3.52,63,7365,240,7,0
1314,87.08,80.7,2.43,67,9741,326,13,1
2894,72.9,106.74,3.68,92,11589,15,12,0
2902,75.85,91.88,3.77,91,13637,336,14,1
2194,87.46,91.49,2.24,61,8690,222,9,0
1501,76.93,89.48,4.28,75,4778,245,10,0
718,74.1,97.28,5.27,97,4610,93,10,1
3017,105.21,95.25,2.54,92,6188,97,9,0
2823,79.82,85.87,3.62,88,6728,288,9,0
1624,71.76,100.32,1.72,88,7565,318,13,0
1032,66.55,80.66,3.76,93,6650,60,14,1
1573,87.43,98.11,3.56,91,12542,166,3,1
2097,93.48,100.13,3.48,52,4072,219,1,1
448,94.51,94.01,4.07,54,2685,167,5,1
801,92.0,98.13,1.02,72,1716,67,5,0
231,81.02,97.27,2.12,77,2268,177,0,0
1757,82.68,87.22,7.23,76,14283,124,9,1
271,103.59,84.07,4.35,77,8878,178,12,1
2288,84.41,97.51,-0.57,98,9513,51,9,0
26,81.73,93.25,3.95,97,5152,236,3,0
538,87.6,78.87,3.01,70,13151,351,1,1
1124,87.47,99.35,5.74,94,3077,362,6,1
1104,66.4,99.43,6.33,66,11327,287,3,0
2461,67.82,100.74,2.24,75,6608,236,10,1
2164,79.76,83.84,6.06,98,11602,324,3,0
3035,80.76,90.76,2.53,74,2751,84,1,0
3006,68.97,97.85,3.66,96,7005,141,1,0
1794,88.59,86.27,4.7,83,12801,255,9,0
1173,87.78,108.5,0.73,73,11414,337,14,0
10,75.38,104.44,4.46,63,2122,256,4,1
2888,91.32,106.19,2.39,93,5507,129,14,0
2238,89.73,93.32,2.7,63,2612,117,7,0
2693,96.27,104.96,5.53,56,13428,135,2,1
519,88.26,99.08,3.08,78,1025,39,4,0
1842,79.84,90.02,3.61,73,6150,256,7,0
