date,station,train_id,hour,day_of_week,holiday,weather,special_event,passenger_count
139,8,328,21,1,0,0,0,571
169,6,501,20,3,0,4,1,1047
324,8,2279,9,4,0,0,0,661
40,5,444,0,0,0,1,0,313
331,0,2533,23,4,0,0,0,268
330,2,1791,21,3,0,0,0,646
38,0,1023,5,5,0,1,0,427
14,2,73,19,2,0,0,0,702
259,9,2496,0,2,0,0,0,265
66,0,40,5,5,0,0,0,301
233,7,388,3,4,0,4,0,202
279,8,2702,16,1,0,4,0,271
150,9,1447,15,5,0,4,0,580
205,0,1682,5,4,0,0,0,265
81,0,2473,2,6,0,0,0,471
342,5,2768,0,1,1,0,0,505
260,3,2435,12,3,1,1,0,614
268,2,1709,8,4,0,4,0,541
322,0,851,16,2,0,0,0,441
277,0,589,3,6,0,3,0,402
104,7,1276,14,1,0,4,0,391
294,2,1390,9,2,0,1,0,553
266,8,1111,11,2,0,0,0,351
285,2,2874,17,0,0,1,0,518
326,0,751,10,6,1,1,0,843
106,1,1262,12,3,1,4,0,624
248,2,2494,11,5,0,4,0,450
161,4,670,16,2,0,0,0,380
225,5,215,9,3,0,0,0,584
272,9,2989,19,1,0,4,0,497
174,5,2854,22,1,0,4,0,234
110,1,2178,19,0,0,1,0,554
72,7,2070,22,4,0,4,0,175
240,5,2666,14,4,0,1,0,367
24,4,900,15,5,0,0,0,368
56,7,2896,13,2,0,0,0,416
245,8,2162,21,2,0,0,0,637
94,0,1383,8,5,0,0,0,523
300,4,2727,18,1,0,1,1,997
68,0,1099,18,0,0,1,0,614
260,8,3117,8,3,0,2,0,570
199,1,516,1,5,0,0,0,549
40,9,196,16,0,1,1,0,681
343,0,2933,5,2,0,0,0,319
19,9,2428,17,0,0,0,0,493
203,9,1442,5,2,0,0,0,378
180,4,3025,20,0,0,0,0,644
191,4,1339,18,4,1,3,0,806
229,2,2493,9,0,1,4,0,752
86,6,291,21,4,0,1,0,705
171,8,2395,8,5,0,0,0,530
326,7,357,4,6,0,0,0,426
190,7,1068,21,3,0,0,0,518
28,7,354,6,2,1,1,0,553
90,9,3046,0,1,0,1,0,264
119,8,1150,13,2,0,0,1,655
262,3,566,13,5,0,1,0,465
291,7,490,23,6,0,1,1,770
122,2,2502,15,5,0,0,1,923
239,7,2450,2,3,1,0,0,687
267,1,1934,13,3,0,0,1,728
121,8,2055,15,4,0,4,0,253
54,0,900,17,0,0,4,0,548
59,4,2288,14,5,0,4,1,753
170,1,2097,0,4,0,1,0,238
131,7,975,12,0,0,0,0,342
21,9,1251,21,2,0,4,0,458
181,2,394,6,1,0,0,0,210
239,3,1360,12,3,0,0,1,940
156,2,124,16,4,0,4,0,327
63,6,3164,9,2,0,1,0,609
27,7,817,11,1,0,0,0,310
112,9,2831,15,2,1,4,0,629
23,1,229,8,4,0,0,0,521
321,0,687,3,1,0,1,0,389
29,2,1251,15,3,0,0,0,230
173,8,789,23,0,0,0,0,220
364,9,2685,10,2,0,0,0,609
211,5,1743,4,3,0,1,0,409
171,6,198,20,5,0,1,0,637
256,7,336,6,6,0,0,0,450
151,3,2124,8,6,0,0,0,624
327,0,896,19,0,0,0,0,680
42,7,760,7,2,0,4,0,440
184,1,1813,19,4,1,3,0,827
122,5,1065,15,5,1,4,0,569
135,3,599,7,4,0,3,0,416
96,4,2245,10,0,0,1,0,512
120,2,1219,3,3,0,1,0,301
71,8,1166,7,3,0,0,0,630
71,3,720,19,3,0,4,0,400
142,7,1916,14,4,0,0,0,429
35,8,1586,23,2,0,1,0,360
165,3,2234,17,6,0,0,0,742
81,0,37,1,6,0,0,0,309
292,5,864,6,0,0,0,0,312
335,2,1883,6,1,1,1,0,607
336,0,2030,11,2,0,0,0,332
134,7,334,5,3,0,0,0,319
134,2,950,13,3,0,3,0,343
124,1,626,1,0,0,0,0,271
159,1,926,3,0,0,1,0,298
97,9,565,17,1,1,1,0,937
64,7,2577,8,3,0,2,0,408
352,7,1374,5,4,1,3,0,456
83,7,955,22,1,0,1,0,411
56,0,2382,14,2,0,1,0,426
217,2,448,7,2,0,1,0,530
286,5,916,13,1,0,3,0,387
168,7,1510,19,2,0,2,0,561
349,5,1365,21,1,0,1,0,655
205,6,1845,5,4,0,0,0,393
174,7,2718,12,1,0,1,0,327
266,7,1890,1,2,0,4,1,727
215,0,2824,13,0,0,0,0,491
235,6,214,5,6,0,4,0,442
320,4,346,3,0,0,0,0,363
313,9,1924,1,0,0,0,0,266
158,6,2441,10,6,0,1,0,578
283,0,2618,4,5,0,2,0,321
120,0,3033,4,3,0,1,0,277
97,0,1402,21,1,0,3,0,559
167,6,214,4,1,0,0,0,298
169,7,2741,22,3,0,1,0,372
184,9,192,5,4,0,1,0,238
58,7,1277,0,4,0,0,0,284
274,0,3009,4,3,0,1,0,346
41,7,2662,15,1,0,0,0,342
306,1,133,17,0,0,3,0,539
294,1,2020,9,2,0,0,0,700
269,0,2259,17,5,0,0,0,711
330,9,3106,0,3,0,2,0,357
304,2,2292,5,5,0,0,0,450
273,4,435,20,2,0,1,0,585
288,9,2668,10,3,0,0,0,529
278,5,1510,12,0,0,0,0,366
144,2,2709,8,6,1,0,0,953
224,7,2475,14,2,0,1,0,421
61,8,1072,11,0,0,0,0,434
148,9,1355,10,3,0,1,0,506
291,4,332,9,6,0,0,0,702
155,3,329,20,3,0,1,0,708
359,7,2161,8,4,1,1,0,774
253,4,2310,12,3,0,0,1,812
166,6,1164,11,0,0,1,0,545
353,9,3049,12,5,0,1,0,618
330,9,251,1,3,0,4,0,213
42,4,557,3,2,1,0,0,709
362,2,1421,0,0,0,1,0,230
116,0,1935,18,6,0,0,0,666
82,8,2413,18,0,0,4,0,539
93,2,1564,11,4,0,0,0,533
264,2,746,14,0,0,1,0,453
362,8,1930,17,0,0,0,0,656
229,4,1118,16,0,0,0,0,418
294,9,1886,20,2,0,0,0,627
358,9,1834,7,3,0,1,0,579
335,9,1520,10,1,0,3,0,442
176,5,2712,23,3,0,2,0,318
166,4,427,11,0,0,0,0,393
295,8,1146,4,3,0,0,0,416
56,0,2291,13,2,1,4,0,696
314,1,3158,3,1,0,0,0,271
325,0,150,3,5,0,3,0,337
115,7,2105,2,5,0,0,0,505
42,2,1603,17,2,0,0,0,625
256,8,355,19,6,0,4,0,818
105,1,915,15,2,0,2,0,469
224,7,722,20,2,0,0,0,489
335,8,378,14,1,0,0,0,419
97,8,2602,16,1,0,1,0,344
267,6,3142,5,3,0,4,0,126
130,9,1384,0,6,0,0,0,430
27,2,1723,9,1,0,1,0,570
180,5,1964,4,0,0,0,0,315
183,6,322,7,3,0,0,1,961
299,2,682,6,0,0,4,0,300
249,4,1327,12,6,0,4,0,408
363,1,939,3,1,0,4,0,167
59,6,63,0,5,0,1,0,404
86,2,2585,23,4,0,0,0,326
296,8,1454,23,4,0,1,0,197
27,4,3167,1,1,0,0,0,407
347,5,1364,12,6,0,4,0,501
159,8,2622,17,0,0,1,0,663
256,4,816,11,6,0,1,0,434
215,7,2144,18,0,0,0,0,609
195,6,1748,3,1,0,0,0,279
243,0,2964,16,0,0,3,0,307
8,3,1913,17,3,0,0,0,611
115,5,2362,23,5,0,2,0,337
363,7,1063,0,1,0,4,0,236
81,4,440,22,6,0,3,0,330
16,4,1007,5,4,0,0,0,307
150,8,2194,13,5,0,0,0,529
216,0,2188,20,1,1,1,0,746
88,8,547,18,6,0,0,0,727
164,6,1905,0,5,0,1,0,410
133,0,1284,13,2,0,0,0,334
109,6,554,21,6,0,4,1,1037
154,5,930,14,2,0,0,0,394
221,3,2301,12,6,1,0,0,750
205,4,1324,0,4,0,3,0,216
69,6,2408,11,1,0,1,0,330
261,3,2940,19,4,0,4,0,524
3,7,1170,7,5,0,1,0,694
103,5,3052,12,0,0,1,0,451
277,2,3066,0,6,0,0,0,349
356,1,1566,1,1,0,0,0,351
136,7,362,14,5,0,0,0,449
113,4,735,21,3,0,0,0,590
8,5,1527,4,3,0,0,0,333
100,4,2120,19,4,0,0,0,552
332,0,3155,3,5,0,0,0,446
271,3,2752,20,0,0,1,0,610
103,6,675,14,0,0,1,0,408
174,1,2008,0,1,0,1,0,286
301,7,1542,15,2,0,0,0,357
330,6,1622,22,3,0,0,0,159
164,6,1434,15,5,0,0,0,338
50,2,2228,20,3,0,4,0,526
344,7,362,10,3,0,3,0,441
251,3,1961,21,1,0,2,0,514
161,8,3040,14,2,0,3,0,251
105,1,2802,17,2,0,0,0,694
182,2,2767,11,2,0,1,0,262
210,8,620,1,2,0,0,0,221
135,8,107,0,4,0,1,0,263
3,9,1047,9,5,0,0,0,740
221,3,2522,21,6,0,1,0,626
45,7,2537,16,5,0,0,0,596
124,9,835,20,0,0,0,1,949
338,2,331,15,4,0,4,0,318
143,8,2809,17,5,0,0,1,1103
244,8,2340,20,1,0,1,0,719
220,9,1900,7,5,0,3,0,580
32,4,347,22,6,0,2,1,774
331,8,89,6,4,0,3,0,181
204,8,3006,21,3,0,0,1,864
218,5,664,6,3,0,0,0,257
344,4,2512,1,3,0,0,0,416
33,7,946,17,0,0,4,0,460
310,2,2740,17,4,0,0,0,608
82,1,454,21,0,0,0,0,547
14,6,2399,15,2,0,0,0,450
171,3,2705,3,5,0,4,0,530
77,0,268,14,2,0,0,0,359
193,8,2661,10,6,0,4,0,703
227,8,1351,8,5,0,0,0,762
232,1,173,22,3,0,0,0,267
351,8,1261,8,3,0,4,0,534
147,7,2350,16,2,0,0,0,414
114,5,2962,17,4,0,4,1,948
222,4,1248,0,0,0,3,0,218
183,5,2482,12,3,0,4,0,285
284,2,674,13,6,0,1,0,583
281,1,1808,14,3,0,0,0,389
276,9,1852,22,5,0,1,0,478
164,9,3059,13,5,0,4,0,448
194,2,2648,7,0,0,3,0,563
250,8,2888,7,0,0,0,0,593
51,6,1317,5,4,1,4,0,467
171,2,236,4,5,0,0,0,450
120,8,2423,9,3,0,1,0,529
72,9,2513,0,4,0,4,0,160
1,5,129,17,3,0,0,0,444
355,5,1338,15,0,0,0,0,353
75,0,3120,22,0,0,0,0,159
267,1,1571,1,3,0,1,0,407
167,5,1235,11,1,0,0,0,372
329,6,608,18,2,0,0,0,581
197,4,1474,8,3,0,3,0,429
323,4,1796,18,3,0,0,0,538
322,2,2707,2,2,0,0,0,388
98,9,1249,16,2,0,1,0,332
155,2,3079,17,3,0,1,0,519
183,7,199,20,3,0,0,0,659
17,8,2685,15,5,0,0,0,485
290,2,2674,15,5,0,0,0,593
86,5,2099,17,4,0,0,0,662
236,5,686,17,0,0,2,0,515
48,2,3130,5,1,0,3,0,282
66,2,1345,9,5,0,0,0,731
293,5,1978,2,1,0,1,0,295
118,1,672,21,1,0,0,0,495
6,0,2391,17,1,0,0,0,730
47,2,2481,13,0,0,2,0,458
34,3,438,4,1,0,1,0,183
348,0,2833,17,0,0,0,0,560
35,0,260,22,2,0,0,0,294
54,3,3142,3,0,0,1,0,261
269,3,634,11,5,0,4,0,457
207,3,427,15,6,0,0,0,518
101,5,3080,2,5,0,1,0,484
298,2,2133,7,6,0,2,0,641
96,8,2820,11,0,0,4,1,654
198,8,2094,3,4,0,0,1,575
84,6,885,15,2,0,0,0,484
40,3,1626,4,0,0,0,0,196
304,4,142,22,5,0,0,0,321
185,8,3134,16,5,0,0,0,489
195,6,586,17,1,0,0,0,595
330,6,3092,14,3,0,1,0,377
200,2,2266,12,6,0,2,0,612
257,0,1126,18,0,0,0,0,624
139,1,222,21,1,0,1,1,884
356,0,2501,14,1,1,1,0,626
350,4,1119,16,2,0,0,0,426
305,0,95,20,6,0,3,0,797
183,9,2151,5,3,0,3,0,182
182,2,873,5,2,0,0,0,300
54,2,1670,18,0,0,0,0,589
152,9,147,5,0,0,0,0,162
294,9,1287,2,2,0,0,0,348
110,5,159,1,0,0,0,0,148
270,0,350,7,6,0,3,0,543
52,0,2390,18,5,0,0,0,698
221,0,2587,6,6,0,1,0,433
198,0,1234,0,4,0,4,0,151
262,4,1536,20,5,0,4,0,594
77,5,412,9,2,0,1,0,443
256,3,1738,4,6,0,3,0,266
48,6,1902,21,1,0,3,0,532
234,8,868,9,5,0,0,0,622
70,9,953,5,2,0,0,0,276
208,7,1965,7,0,0,0,0,384
142,6,1977,15,4,0,1,0,434
193,2,2776,9,6,0,1,0,763
312,2,1008,19,6,0,0,0,643
65,9,497,22,4,0,0,0,162
17,7,2981,2,5,0,1,0,390
336,0,702,5,2,0,0,0,299
211,1,1420,22,3,0,3,0,293
288,5,2968,1,3,0,4,1,670
239,2,2775,6,3,0,0,0,225
