date,station,train_id,hour,day_of_week,holiday,weather,special_event,passenger_count
2025-05-20,Visakhapatnam,TRN1500,21,1,0,Clear,0,571
2025-06-19,Tirupati,TRN1758,20,3,0,Rain,1,1047
2025-11-21,Visakhapatnam,TRN4588,9,4,0,Clear,0,661
2025-02-10,Secunderabad,TRN1684,0,0,0,Cloudy,0,313
2025-11-28,Guntur,TRN4985,23,4,0,Clear,0,268
2025-11-27,Kurnool,TRN3831,21,3,0,Clear,0,646
2025-02-08,Guntur,TRN2566,5,5,0,Cloudy,0,427
2025-01-15,Kurnool,TRN1124,19,2,0,Clear,0,702
2025-09-17,Warangal,TRN4931,0,2,0,Clear,0,265
2025-03-08,Guntur,TRN1069,5,5,0,Clear,0,301
2025-08-22,Vijayawada,TRN1591,3,4,0,Rain,0,202
2025-10-07,Visakhapatnam,TRN5245,16,1,0,Rain,0,271
2025-05-31,Warangal,TRN3252,15,5,0,Rain,0,580
2025-07-25,Guntur,TRN3651,5,4,0,Clear,0,265
2025-03-23,Guntur,TRN4892,2,6,0,Clear,0,471
2025-12-09,Secunderabad,TRN5342,0,1,1,Clear,0,505
2025-09-18,Nellore,TRN4832,12,3,1,Cloudy,0,614
2025-09-26,Kurnool,TRN3699,8,4,0,Rain,0,541
2025-11-19,Guntur,TRN2304,16,2,0,Clear,0,441
2025-10-05,Guntur,TRN1896,3,6,0,Heavy Rain,0,402
2025-04-15,Vijayawada,TRN2975,14,1,0,Rain,0,391
2025-10-22,Kurnool,TRN3153,9,2,0,Cloudy,0,553
2025-09-24,Visakhapatnam,TRN2717,11,2,0,Clear,0,351
2025-10-13,Kurnool,TRN5518,17,0,0,Cloudy,0,518
2025-11-23,Guntur,TRN2146,10,6,1,Cloudy,0,843
2025-04-17,Hyderabad,TRN2954,12,3,1,Rain,0,624
2025-09-06,Kurnool,TRN4929,11,5,0,Rain,0,450
2025-06-11,Nizamabad,TRN2021,16,2,0,Clear,0,380
2025-08-14,Secunderabad,TRN1333,9,3,0,Clear,0,584
2025-09-30,Warangal,TRN5697,19,1,0,Rain,0,497
2025-06-24,Secunderabad,TRN5487,22,1,0,Rain,0,234
2025-04-21,Hyderabad,TRN4439,19,0,0,Cloudy,0,554
2025-03-14,Vijayawada,TRN4283,22,4,0,Rain,0,175
2025-08-29,Secunderabad,TRN5190,14,4,0,Cloudy,0,367
2025-01-25,Nizamabad,TRN2380,15,5,0,Clear,0,368
2025-02-26,Vijayawada,TRN5546,13,2,0,Clear,0,416
2025-09-03,Visakhapatnam,TRN4412,21,2,0,Clear,0,637
2025-04-05,Guntur,TRN3145,8,5,0,Clear,0,523
2025-10-28,Nizamabad,TRN5278,18,1,0,Cloudy,1,997
2025-03-10,Guntur,TRN2700,18,0,0,Cloudy,0,614
2025-09-18,Visakhapatnam,TRN5896,8,3,0,Fog,0,570
2025-07-19,Hyderabad,TRN1776,1,5,0,Clear,0,549
2025-02-10,Warangal,TRN1299,16,0,1,Cloudy,0,681
2025-12-10,Guntur,TRN5603,5,2,0,Clear,0,319
2025-01-20,Warangal,TRN4822,17,0,0,Clear,0,493
2025-07-23,Warangal,TRN3243,5,2,0,Clear,0,378
2025-06-30,Nizamabad,TRN5749,20,0,0,Clear,0,644
2025-07-11,Nizamabad,TRN3067,18,4,1,Heavy Rain,0,806
2025-08-18,Kurnool,TRN4928,9,0,1,Rain,0,752
2025-03-28,Tirupati,TRN1449,21,4,0,Cloudy,0,705
2025-06-21,Visakhapatnam,TRN4770,8,5,0,Clear,0,530
2025-11-23,Vijayawada,TRN1549,4,6,0,Clear,0,426
2025-07-10,Vijayawada,TRN2648,21,3,0,Clear,0,518
2025-01-29,Vijayawada,TRN1543,6,2,1,Cloudy,0,553
2025-04-01,Warangal,TRN5779,0,1,0,Cloudy,0,264
2025-04-30,Visakhapatnam,TRN2776,13,2,0,Clear,1,655
2025-09-20,Nellore,TRN1858,13,5,0,Cloudy,0,465
2025-10-19,Vijayawada,TRN1747,23,6,0,Cloudy,1,770
2025-05-03,Kurnool,TRN4940,15,5,0,Clear,1,923
2025-08-28,Vijayawada,TRN4854,2,3,1,Clear,0,687
2025-09-25,Hyderabad,TRN4068,13,3,0,Clear,1,728
2025-05-02,Visakhapatnam,TRN4257,15,4,0,Rain,0,253
2025-02-24,Guntur,TRN2380,17,0,0,Rain,0,548
2025-03-01,Nizamabad,TRN4603,14,5,0,Rain,1,753
2025-06-20,Hyderabad,TRN4317,0,4,0,Cloudy,0,238
2025-05-12,Vijayawada,TRN2497,12,0,0,Clear,0,342
2025-01-22,Warangal,TRN2941,21,2,0,Rain,0,458
2025-07-01,Kurnool,TRN1602,6,1,0,Clear,0,210
2025-08-28,Nellore,TRN3109,12,3,0,Clear,1,940
2025-06-06,Kurnool,TRN1196,16,4,0,Rain,0,327
2025-03-05,Tirupati,TRN5986,9,2,0,Cloudy,0,609
2025-01-28,Vijayawada,TRN2258,11,1,0,Clear,0,310
2025-04-23,Warangal,TRN5454,15,2,1,Rain,0,629
2025-01-24,Hyderabad,TRN1353,8,4,0,Clear,0,521
2025-11-18,Guntur,TRN2051,3,1,0,Cloudy,0,389
2025-01-30,Kurnool,TRN2941,15,3,0,Clear,0,230
2025-06-23,Visakhapatnam,TRN2212,23,0,0,Clear,0,220
2025-12-31,Warangal,TRN5215,10,2,0,Clear,0,609
2025-07-31,Secunderabad,TRN3752,4,3,0,Cloudy,0,409
2025-06-21,Tirupati,TRN1301,20,5,0,Cloudy,0,637
2025-09-14,Vijayawada,TRN1515,6,6,0,Clear,0,450
2025-06-01,Nellore,TRN4361,8,6,0,Clear,0,624
2025-11-24,Guntur,TRN2374,19,0,0,Clear,0,680
