train_id,engine_temperature,brake_pressure,vibration,wheel_condition,engine_hours,last_service_days,maintenance_count,failure
TRN5021,91.33,88.74,3.28,55,6057,67,7,0
TRN4020,75.91,93.46,3.34,75,5416,257,11,0
TRN5714,87.09,90.08,5.38,96,5831,229,4,0
TRN5915,62.02,91.54,4.6,85,4060,137,14,1
TRN3186,91.01,87.05,3.15,57,11743,146,9,0
TRN2262,79.19,104.52,5.51,53,4872,31,0,0
TRN5559,86.62,83.03,3.63,59,12624,151,0,1
TRN5821,95.83,94.92,2.54,77,11688,125,13,0
TRN3831,88.39,94.4,5.0,71,8695,71,0,0
TRN3794,87.67,87.05,2.61,94,8998,216,3,0
TRN4712,78.71,103.13,2.95,67,14161,92,3,0
TRN1426,102.85,96.82,5.61,65,11976,344,3,0
TRN3649,91.15,105.42,5.7,89,8886,27,1,0
TRN4480,77.06,98.25,6.34,50,14697,39,11,1
TRN4033,91.45,94.67,3.46,68,2492,300,1,1
TRN5668,93.69,98.87,3.44,84,11720,105,10,1
TRN4895,97.51,91.73,3.56,95,5557,73,1,0
TRN1736,56.35,93.43,2.27,95,9925,229,7,0
TRN4283,93.26,92.87,4.92,90,5191,208,2,0
TRN4903,72.96,93.05,2.16,76,9072,50,6,0
TRN5645,90.94,95.95,4.24,85,1733,187,6,0
TRN1159,108.07,85.57,4.42,78,11075,256,12,1
TRN2384,78.71,80.51,1.53,58,11225,20,3,0
TRN5109,84.74,103.41,5.82,91,8943,60,9,0
TRN5760,80.78,101.74,3.52,57,2447,239,0,0
TRN1289,91.67,83.76,4.6,50,4384,326,13,1
TRN5736,71.32,82.75,2.79,77,12398,18,5,1
TRN5733,82.75,92.93,3.36,55,13714,232,12,1
TRN4214,99.19,96.09,4.21,93,4592,348,3,0
TRN5475,77.63,96.02,3.88,53,10888,212,2,0
TRN1906,109.27,89.4,5.83,77,3113,102,10,0
TRN5554,94.52,107.17,2.16,78,1920,282,3,0
TRN5950,75.59,99.75,5.28,54,2054,273,14,0
TRN3040,62.05,90.93,1.94,53,3912,348,10,0
TRN3986,90.48,87.41,1.85,53,14264,59,1,0
TRN1781,68.17,90.92,0.66,54,10035,156,2,1
TRN1581,78.9,89.51,2.69,84,5412,144,7,0
TRN5542,58.09,96.48,4.48,76,6852,319,10,0
TRN4592,78.45,93.03,3.22,100,11273,32,12,0
TRN1845,100.88,93.03,1.7,84,7210,158,10,0
TRN5257,87.88,78.9,3.76,54,14291,29,4,1
TRN3427,77.34,89.17,2.63,71,6911,360,1,0
TRN4841,77.81,96.2,1.99,59,7541,332,6,1
TRN4891,62.86,83.6,3.14,82,6583,324,5,0
TRN1632,86.66,92.75,4.73,96,13635,33,0,0
TRN2832,88.47,98.5,2.93,93,8611,42,14,0
TRN5101,73.97,96.05,4.02,50,2872,83,1,0
TRN1692,108.36,99.92,6.22,64,7203,343,11,1
TRN2758,82.0,87.12,4.96,99,4344,168,14,1
TRN5443,85.86,101.11,4.13,80,9376,78,6,0
TRN2639,87.71,102.25,4.77,79,4349,286,3,1
TRN1724,73.87,100.07,8.14,99,12958,3,10,0
TRN2470,77.38,98.35,5.44,63,12277,193,5,0
TRN3806,79.75,95.9,6.06,69,11159,178,1,1
TRN5276,100.68,96.91,3.95,80,13233,251,6,0
TRN5449,74.38,84.2,4.69,61,9664,320,5,1
TRN1245,93.31,90.77,1.2,88,4000,207,6,0
TRN5985,79.43,97.64,4.85,76,14417,346,5,1
TRN3368,86.14,84.58,6.12,65,12606,38,8,0
TRN2539,98.79,97.89,6.69,50,4156,318,1,1
TRN4896,94.74,95.01,5.23,74,3686,44,14,1
TRN2079,75.31,88.35,2.21,65,4400,205,12,0
TRN4575,62.56,98.83,2.22,79,5110,292,8,0
TRN2476,77.65,90.27,4.06,98,12580,322,5,0
TRN4813,85.29,95.34,4.78,60,2966,235,5,1
TRN4413,105.59,89.19,2.88,77,3765,36,9,0
TRN2417,98.99,92.79,3.8,100,5022,357,6,0
TRN3365,68.66,86.93,6.23,86,2647,180,5,0
TRN1716,80.43,93.38,5.75,53,5222,194,4,0
TRN2090,92.91,96.92,6.58,84,9975,136,4,0
TRN3360,105.04,95.34,2.37,54,11835,307,11,0
TRN4130,66.28,78.01,4.78,95,12116,8,12,0
TRN5910,91.29,101.06,0.96,92,3823,278,1,0
TRN1711,51.57,87.45,3.7,86,11758,211,8,0
TRN4820,86.16,87.34,5.29,86,9474,85,8,0
TRN1810,92.12,85.36,0.78,66,12924,271,9,0
TRN2164,76.79,93.35,0.67,59,10132,251,14,1
TRN4880,84.0,87.75,5.58,99,13652,94,9,0
TRN3536,73.92,85.41,1.51,98,1395,96,11,0
TRN3983,89.14,109.96,4.93,92,9095,33,7,0
TRN4055,92.91,115.74,4.66,78,9684,132,3,0
TRN1943,77.65,91.94,4.77,58,14670,333,11,1
TRN4612,78.76,93.77,4.26,74,13749,202,7,0
TRN4249,81.37,78.82,1.84,64,7239,139,3,0
TRN1295,104.05,96.93,6.24,77,13079,106,9,0
TRN3274,85.22,103.17,4.38,81,3369,64,7,0
TRN3997,67.44,94.98,4.35,89,3676,349,12,1
TRN1486,69.77,90.53,3.47,63,10906,107,11,0
TRN3178,69.2,92.9,1.65,71,10685,149,14,0
TRN2506,90.7,89.79,3.18,76,14179,223,9,0
TRN3414,70.85,83.5,3.2,56,7549,137,2,1
TRN3069,107.83,86.2,5.25,85,3313,228,1,0
